item,risk_type,severity,note
Corporate hero narrative,stage literalism,high,Hero journey is used as a brand template
Corporate hero narrative,beat matching,high,Symbolic analysis becomes manipulative plot rhetoric
Corporate hero narrative,context loss,high,Institutional power is hidden by transformation language
Corporate hero narrative,universal claim,high,Brand story treats hero model as universal human truth
Coming-of-age film,formula drift,medium,Campbell stages may become mechanical plot matching
Coming-of-age film,context loss,medium,Genre and cultural context should be preserved
Indigenous place-based narrative,cultural flattening,high,Universal comparison may erase place-based authority
Indigenous place-based narrative,access protocol,high,Community authority and oral context required
Heroine-centered story,gender bias,medium,Heroic framework may misread relational transformation
Quest myth,selective evidence,low,Include counterexamples and ritual context
